date,open,high,low,close,volume,delta,macro,macro_slow
2023-10-23T16:00:00,30864.1,31430.9,30356.3,31339.9,214050.486,4325.68,15.921,11.802
2023-10-23T20:00:00,31340.3,35981.9,31302.2,33074.0,377949.101,24065.825,22.335,17.989
2023-10-24T00:00:00,33074.0,35300.0,32833.5,34071.1,281275.402,8777.944,25.364,21.436
2023-10-24T04:00:00,34071.1,34597.9,33710.0,34025.9,120913.576,134.74,25.197,21.275
2023-10-24T08:00:00,34025.8,34888.0,33966.0,34550.0,105261.541,1218.511,27.126,23.143
2023-10-24T12:00:00,34549.9,34849.4,33244.0,33674.0,208284.691,-8236.659,23.902,20.021
2023-10-24T16:00:00,33673.9,34398.9,33379.2,33792.0,118528.892,1739.018,24.337,20.441
2023-10-24T20:00:00,33792.0,34307.5,33485.3,33917.0,87728.961,957.833,24.797,20.887
2023-10-25T00:00:00,33917.0,34388.0,33768.6,34003.6,57595.248,-2594.52,24.374,21.066
2023-10-25T04:00:00,34003.7,34209.4,33660.6,33853.4,54109.284,-2493.752,23.824,20.531
2023-10-25T08:00:00,33853.4,34479.0,33773.3,34195.5,73790.394,4085.728,25.075,21.749
2023-10-25T12:00:00,34195.5,35035.0,34191.8,34841.4,133247.736,7277.222,27.438,24.048
2023-10-25T16:00:00,34841.5,35154.3,34364.6,34732.1,96963.113,-1481.021,27.038,23.659
2023-10-25T20:00:00,34732.0,34847.0,34203.5,34487.7,49661.369,-2817.105,26.144,22.789
2023-10-26T00:00:00,34487.8,34828.7,34407.2,34783.3,35395.926,322.116,26.42,23.697
2023-10-26T04:00:00,34783.4,34809.4,34401.7,34648.7,42947.591,-1179.887,25.931,23.218
2023-10-26T08:00:00,34648.6,34745.0,33963.0,34104.2,78784.898,-4878.794,23.952,21.282
2023-10-26T12:00:00,34104.1,34368.1,33830.0,34050.0,100683.302,-3978.328,23.755,21.089
2023-10-26T16:00:00,34050.1,34150.0,33750.0,34052.1,54840.371,627.263,23.763,21.097
2023-10-26T20:00:00,34052.2,34287.5,34026.6,34154.0,26900.876,319.748,24.133,21.459
2023-10-27T00:00:00,34154.0,34179.6,33774.0,34124.0,41120.404,-688.814,23.271,21.226
2023-10-27T04:00:00,34124.1,34253.3,33929.3,33954.0,34654.711,-1876.801,22.656,20.623
2023-10-27T08:00:00,33954.0,34185.3,33950.0,34055.3,31645.835,121.853,23.022,20.982
2023-10-27T12:00:00,34055.1,34220.0,33826.5,34010.9,70781.969,-1376.377,22.862,20.825
2023-10-27T16:00:00,34010.8,34042.2,33350.0,33705.5,75435.791,-6040.275,21.759,19.74
2023-10-27T20:00:00,33705.6,33948.9,33686.0,33893.1,24414.268,-335.536,22.436,20.406
2023-10-28T00:00:00,33893.2,34188.8,33867.4,34068.5,22390.809,1219.047,22.393,20.938
2023-10-28T04:00:00,34068.5,34199.5,34026.0,34057.2,18557.2,-132.044,22.353,20.897
2023-10-28T08:00:00,34057.2,34535.8,34038.0,34182.5,40302.883,1958.977,22.803,21.342
2023-10-28T12:00:00,34182.5,34248.0,33930.0,34199.9,35544.233,-625.717,22.865,21.404
2023-10-28T16:00:00,34200.0,34230.7,34082.0,34118.3,12120.435,-1134.211,22.572,21.114
2023-10-28T20:00:00,34118.3,34200.0,34063.0,34086.6,9399.372,-478.676,22.458,21.002
2023-10-29T00:00:00,34086.7,34110.5,33956.1,33981.0,15394.255,-789.625,21.365,20.544
2023-10-29T04:00:00,33981.0,34147.7,33933.0,34086.0,13244.568,526.918,21.74,20.916
2023-10-29T08:00:00,34086.1,34349.4,34082.0,34272.6,29265.085,2971.945,22.407,21.578
2023-10-29T12:00:00,34272.6,34579.7,34272.3,34462.5,46402.449,1066.541,23.085,22.252
2023-10-29T16:00:00,34462.6,34773.8,34382.0,34571.5,45097.21,-400.766,23.474,22.638
2023-10-29T20:00:00,34571.6,34746.7,34400.0,34528.6,26493.983,-1368.523,23.321,22.486
2023-10-30T00:00:00,34528.6,34578.8,34179.0,34276.5,32214.955,-2293.695,21.67,21.491
2023-10-30T04:00:00,34276.6,34358.7,34104.0,34191.7,32179.605,-2787.309,21.369,21.191
2023-10-30T08:00:00,34191.8,34700.0,34161.7,34627.9,54749.558,2769.422,22.917,22.737
2023-10-30T12:00:00,34627.8,34888.2,34474.0,34664.5,76712.349,-1363.809,23.047,22.867
2023-10-30T16:00:00,34664.5,34664.5,34050.0,34440.0,66042.98,-3611.95,22.25,22.071
2023-10-30T20:00:00,34440.0,34593.1,34320.1,34483.8,19941.901,486.267,22.406,22.226
2023-10-31T00:00:00,34483.8,34620.7,34206.1,34219.9,32408.78,-2402.942,20.727,21.202
2023-10-31T04:00:00,34219.9,34360.0,34080.0,34151.9,37841.567,-988.913,20.487,20.962
2023-10-31T08:00:00,34151.9,34563.6,34016.8,34504.0,53119.465,4955.681,21.73,22.209
2023-10-31T12:00:00,34504.1,34533.1,34133.7,34290.2,64813.253,-2393.925,20.975,21.451
2023-10-31T16:00:00,34290.3,34632.0,34240.0,34553.5,44732.189,3367.917,21.904,22.384
2023-10-31T20:00:00,34553.6,34744.7,34439.5,34651.4,39535.313,-122.511,22.25,22.731
2023-11-01T00:00:00,34651.4,34684.0,34406.4,34430.0,25982.006,-3904.626,20.66,21.856
2023-11-01T04:00:00,34429.9,34520.0,34330.4,34463.9,21007.703,1316.705,20.778,21.976
2023-11-01T08:00:00,34464.0,34515.1,34354.0,34442.9,19664.578,-554.272,20.705,21.902
2023-11-01T12:00:00,34442.9,35249.0,34076.0,34296.9,195410.79,-2932.238,20.193,21.385
2023-11-01T16:00:00,34296.9,34750.0,34288.8,34564.3,76906.503,1398.585,21.13,22.331
2023-11-01T20:00:00,34564.1,35734.0,34538.6,35437.4,130243.207,6328.401,24.19,25.421
2023-11-02T00:00:00,35437.5,35999.9,35378.3,35578.0,85831.894,-1005.646,23.848,25.804
2023-11-02T04:00:00,35577.9,35613.0,35050.0,35280.7,66376.67,-7011.262,22.814,24.753
2023-11-02T08:00:00,35280.6,35487.0,35095.1,35377.5,37839.651,-1112.593,23.15,25.095
2023-11-02T12:00:00,35377.6,35468.0,34533.1,34645.2,113228.454,-7352.172,20.601,22.506
2023-11-02T16:00:00,34645.1,35021.0,34300.0,34998.2,70647.292,528.47,21.83,23.754
2023-11-02T20:00:00,34998.2,35099.0,34705.0,34940.1,36297.766,-2858.788,21.628,23.549
2023-11-03T00:00:00,34940.1,34944.9,34364.1,34680.0,44337.168,-999.796,19.993,22.528
2023-11-03T04:00:00,34680.1,34700.0,34300.1,34470.0,41537.366,-2669.18,19.267,21.786
2023-11-03T08:00:00,34469.9,34618.0,34123.0,34265.5,65758.64,-348.498,18.559,21.064
2023-11-03T12:00:00,34265.5,34850.0,34155.4,34759.5,74192.851,1383.795,20.268,22.809
2023-11-03T16:00:00,34759.5,34825.0,34304.1,34518.1,59377.724,-6034.174,19.433,21.956
2023-11-03T20:00:00,34518.1,34738.0,34469.4,34700.4,20844.45,1023.452,20.064,22.6
2023-11-04T00:00:00,34700.5,34774.0,34620.1,34699.9,16221.894,-941.464,19.385,22.484
2023-11-04T04:00:00,34700.0,35111.0,34571.6,34759.1,40608.763,1792.017,19.589,22.693
2023-11-04T08:00:00,34759.2,34880.0,34668.7,34706.2,17082.279,-370.307,19.407,22.506
2023-11-04T12:00:00,34706.2,34799.0,34632.5,34709.8,16159.641,-302.573,19.419,22.519
2023-11-04T16:00:00,34709.9,34792.0,34685.1,34721.2,8516.209,65.003,19.459,22.559
2023-11-04T20:00:00,34721.1,35270.0,34700.0,35069.7,42158.088,5957.75,20.658,23.789
2023-11-05T00:00:00,35069.7,35350.0,34933.3,35292.1,31036.506,1953.336,20.719,24.471
2023-11-05T04:00:00,35292.4,35328.0,35052.8,35175.4,27622.255,-1053.475,20.319,24.059
2023-11-05T08:00:00,35175.5,35210.4,35023.1,35103.5,19853.909,-322.057,20.073,23.806
2023-11-05T12:00:00,35103.6,35187.0,34758.0,34893.9,45238.598,-3322.266,19.356,23.067
2023-11-05T16:00:00,34893.9,35298.0,34878.0,35001.3,37504.83,1918.372,19.724,23.445
2023-11-05T20:00:00,35001.2,35455.2,34356.0,35025.5,70107.241,-2124.049,19.807,23.531
2023-11-06T00:00:00,35025.5,35137.9,34840.6,34992.9,29591.552,-352.6,19.005,23.28
2023-11-06T04:00:00,34992.9,35044.0,34743.2,34918.5,22037.734,-245.862,18.752,23.018
2023-11-06T08:00:00,34918.5,35299.9,34836.4,35253.1,41969.923,1240.119,19.89,24.197
2023-11-06T12:00:00,35253.1,35281.5,34911.0,35094.5,53421.227,-1050.895,19.35,23.638
2023-11-06T16:00:00,35094.5,35129.4,34821.0,35076.7,33564.29,-202.414,19.29,23.576
2023-11-06T20:00:00,35076.7,35172.9,34905.0,35057.4,21642.489,-129.481,19.224,23.508
2023-11-07T00:00:00,35057.5,35066.0,34808.0,34932.0,24909.176,-691.412,18.111,22.918
2023-11-07T04:00:00,34931.9,34988.0,34835.5,34947.3,15565.456,-378.466,18.163,22.972
2023-11-07T08:00:00,34947.3,34988.0,34552.2,34633.3,58015.083,-6397.487,17.101,21.867
2023-11-07T12:00:00,34633.3,34849.4,34520.3,34728.4,43458.375,-1046.517,17.423,22.202
2023-11-07T16:00:00,34728.5,35609.4,34560.0,35473.4,111860.41,5942.184,19.942,24.823
2023-11-07T20:00:00,35473.5,35921.7,35211.0,35406.5,89717.45,1801.384,19.716,24.588
2023-11-08T00:00:00,35406.5,35436.1,35241.1,35287.8,23196.039,-955.045,18.62,23.992
2023-11-08T04:00:00,35287.8,35378.9,35172.7,35239.6,23787.98,188.274,18.458,23.823
2023-11-08T08:00:00,35239.5,35449.9,35192.1,35336.7,29404.328,-1741.73,18.784,24.164
2023-11-08T12:00:00,35336.7,35485.0,35073.0,35231.3,46076.99,-2336.178,18.43,23.794
2023-11-08T16:00:00,35231.4,35791.9,35194.3,35630.9,66866.299,2729.483,19.773,25.198
2023-11-08T20:00:00,35630.8,36150.0,35390.0,35626.7,145447.813,3053.205,19.759,25.183
2023-11-09T00:00:00,35626.7,36888.0,35538.8,36455.5,116651.935,7346.249,21.855,27.919
2023-11-09T04:00:00,36455.5,36884.0,36422.0,36550.6,76650.108,305.886,22.172,28.253
2023-11-09T08:00:00,36550.6,37018.1,36550.6,36816.9,67229.757,929.703,23.063,29.187
2023-11-09T12:00:00,36816.9,38499.9,36768.0,37141.5,251180.076,10847.294,24.148,30.326
